Vendor,Product,Version,Vulnerabilities Fixed
Wikimedia Foundation,Mediawiki - GlobalBlocking Extension,master,CVE-2025-23073
Wikimedia Foundation,Mediawiki - OpenBadges Extension,1.39.x,CVE-2025-23080
Wikimedia Foundation,Mediawiki - RefreshSpecial Extension,1.39.x,CVE-2025-23072
Wikimedia Foundation,Mediawiki - SocialProfile Extension,1.39.x,CVE-2025-23074
Willows Consulting Ltd.,GDPR Personal Data Reports,Unknown,CVE-2025-23777
WisdmLabs,Edwiser Bridge,Unknown,CVE-2025-24593
Wizcrew Technologies,go Social,Unknown,CVE-2025-23426
Wondershare,Dr.Fone,13.5.21,CVE-2025-0834
WordPress Download Manager,Premium Packages,Unknown,CVE-2025-24659
WordPress 智库,Wizhi Multi Filters by Wenprise,Unknown,CVE-2025-22336
Wouter Dijkstra,DD Roles,Unknown,CVE-2025-23528
Wow-Company,Bubble Menu – circle floating menu,Unknown,CVE-2025-24714
Wow-Company,Button Generator – easily Button Builder,Unknown,CVE-2025-24713
Wow-Company,Counter Box,Unknown,CVE-2025-24715
Wow-Company,Herd Effects,Unknown,CVE-2025-24716
Wow-Company,Modal Window,Unknown,CVE-2025-24717
Wow-Company,Popup Box,Unknown,CVE-2025-24711
Wow-Company,Side Menu Lite,Unknown,CVE-2025-24724
Wow-Company,Sticky Buttons,Unknown,CVE-2025-24720
WpFreeware,WpF Ultimate Carousel,Unknown,CVE-2025-23933
WpIndeed,Ultimate Learning Pro,Unknown,CVE-2025-22350
WpMultiStoreLocator,WP Multi Store Locator,Unknown,CVE-2025-24680
X Villamuera,Visit Site Link enhanced,Unknown,CVE-2025-23470
Xagio,Xagio SEO,Unknown,CVE-2025-24702
Xe,x,< v1.11.0-37-gd98d70a,CVE-2025-24369
Xfinity Soft,Content Cloner,Unknown,CVE-2025-22681
Y'S corporation,STEALTHONE D220,firmware v6.03.02 and earlier,"CVE-2025-20016, CVE-2025-20055, CVE-2025-20620"
Yamna Khawaja,Mailing Group Listserv,Unknown,"CVE-2025-22527, CVE-2025-22595"
Yamna Tatheer,KNR Author List Widget,Unknown,CVE-2025-22514
Yannick Lefebvre,Bug Library,Unknown,CVE-2025-24728
Yehi,Advanced Notifications,Unknown,CVE-2025-24693
YesStreaming.com Shoutcast and Icecast Internet Radio Hosting,Shoutcast and Icecast HTML5 Web Radio Player by YesStreaming.com,Unknown,CVE-2025-23854
YesWiki,yeswiki,< 4.5.0,"CVE-2025-24017, CVE-2025-24018, CVE-2025-24019"
Yonatan Reinberg,yCyclista,Unknown,CVE-2025-23700
Yonatan Reinberg of Social Ink,Custom Post Type Lockdown,Unknown,CVE-2025-23530
Yubico,pam-u2f,0,CVE-2025-23013
Zaantar,WordPress Logging Service,Unknown,CVE-2025-23510
Zach Swetz,Plugin A/B Image Optimizer,Unknown,CVE-2025-25163
Zack Katz,Links in Captions,Unknown,CVE-2025-25098
Zenvia,Movidesk,25.01.0,"CVE-2025-0970, CVE-2025-0971, CVE-2025-0972"
"Zoom Communications, Inc",Zoom Jenkins Marketplace plugin,0,"CVE-2025-0142, CVE-2025-0148"
"Zoom Communications, Inc",Zoom Workplace App for Linux,0,CVE-2025-0147
"Zoom Communications, Inc",Zoom Workplace Apps,see references,CVE-2025-0144
"Zoom Communications, Inc",Zoom Workplace Apps for Linux,0,CVE-2025-0143
"Zoom Communications, Inc",Zoom Workplace Apps for Windows,see references,CVE-2025-0145
"Zoom Communications, Inc",Zoom Workplace app for macOS,0,CVE-2025-0146
Zyxel,VMG4325-B10A firmware,<= 1.00(AAFR.4)C0_20170615,CVE-2025-0890
aEnrich Technology,a+HRD,0,"CVE-2025-0583, CVE-2025-0584, CVE-2025-0585, CVE-2025-0586"
aThemeArt,Store Commerce,Unknown,CVE-2025-22339
adamghill,django-unicorn,< 0.62.0,CVE-2025-24370
add-ons.org,Email Templates Customizer for WordPress – Drag And Drop Email Templates Builder – YeeMail,Unknown,CVE-2025-22802
add-ons.org,PDF Invoices for WooCommerce + Drag and Drop Template Builder,Unknown,CVE-2025-24755
aiwp,Elementor AI Addons,Unknown,CVE-2025-22758
altimawebsystems.com,Altima Lookbook Free for WooCommerce,Unknown,CVE-2025-23429
anmari,amr personalise,Unknown,CVE-2025-23880
anyroad.com,AnyRoad,Unknown,CVE-2025-23996
apple,macos,Unknown,CVE-2023-12347
argoproj,argo-cd,">= 2.13.0, < 2.13.4",CVE-2025-23216
artbees,Jupiter X Core,*,"CVE-2025-0365, CVE-2025-0366"
arul,PDF.js Shortcode,Unknown,CVE-2025-23943
aws,aws-cdk,< 2.177.0,CVE-2025-23206
azukaar,Cosmos-Server,< 0.17.7,CVE-2025-23214
bPlugins,Alert Box Block – Display notice/alerts in the front end,Unknown,CVE-2025-22675
bPlugins,All Embed – Elementor Addons,Unknown,CVE-2025-24595
bPlugins LLC,Button Block,Unknown,"CVE-2025-22787, CVE-2025-22815"
backdropcms,backdrop,1.28.0,"CVE-2025-25062, CVE-2025-25063"
badhonrocks,Carousel Maker for Divi,*,CVE-2025-0350
badhonrocks,Divi Torque Lite,*,CVE-2025-0353
bailuk,AAT,< 1.26,CVE-2025-21615
basecamp,trix,< 2.1.12,CVE-2025-21610
basteln3rk,Save & Import Image from URL,Unknown,CVE-2025-23960
bharatkambariya,Donation Block For PayPal,Unknown,CVE-2025-22525
blackandwhitedigital,BookPress – For Book Authors,Unknown,"CVE-2025-25167, CVE-2025-25168"
blackus3r,WP Keyword Monitor,Unknown,CVE-2025-25088
bnielsen,Indeed API,Unknown,CVE-2025-25103
boldgrid,Post and Page Builder by BoldGrid – Visual Drag and Drop Editor,*,CVE-2025-0859
bozdoz,Quote Tweet,Unknown,CVE-2025-22589
brandtoss,WP Mailster,Unknown,"CVE-2025-22303, CVE-2025-24559, CVE-2025-24598"
brianmiyaji,Legacy ePlayer,Unknown,CVE-2025-22572
caido,caido,= 0.45.0,CVE-2025-23039
carrotbits,Greek Namedays Widget From Eortologio.Net,Unknown,CVE-2025-23783
casid,jte,< 3.1.16,CVE-2025-23026
charmbracelet,soft-serve,< 0.8.2,CVE-2025-22130
chatwoot,chatwoot,">= 2.16.1, < 3.16.0",CVE-2025-21628
cilium,cilium,">= 1.14.0, < 1.14.18","CVE-2025-23028, CVE-2025-23047"
cisco,broadworks,Unknown,CVE-2025-20165
cisco,common_services_platform_collector,Unknown,"CVE-2025-20166, CVE-2025-20168"
cisco,crosswork_network_change_automation,Unknown,CVE-2025-20123
cisco,meeting_management,Unknown,CVE-2025-20156
ckan,ckan,< 2.10.7,CVE-2025-24372
clickandsell,REAL WordPress Sidebar,Unknown,CVE-2025-23535
clidey,whodb,< 0.45.0,"CVE-2025-24786, CVE-2025-24787"
closed,SOCIAL.NINJA,Unknown,CVE-2025-23907
cmsmasters,"Buzz Club – Night Club, DJ and Music Festival Event WordPress Theme",*,CVE-2025-0515
code-projects,Admission Management System,1.0,"CVE-2025-0347, CVE-2025-0527"
code-projects,Car Rental Management System,1.0,CVE-2025-0537
code-projects,Chat System,1.0,"CVE-2025-0171, CVE-2025-0172, CVE-2025-0531, CVE-2025-0882, CVE-2025-0967"
code-projects,Cinema Seat Reservation System,1.0,CVE-2025-0340
code-projects,Content Management System,1.0,CVE-2025-0346
code-projects,Fantasy-Cricket,1.0,"CVE-2025-0563, CVE-2025-0564"
code-projects,Job Recruitment,1.0,"CVE-2025-0168, CVE-2025-0530, CVE-2025-0806, CVE-2025-0934, CVE-2025-0961"
code-projects,Local Storage Todo App,1.0,CVE-2025-0228
code-projects,Online Bike Rental,1.0,CVE-2025-0339
code-projects,Online Bike Rental System,1.0,CVE-2025-0335
code-projects,Online Book Shop,1.0,"CVE-2025-0295, CVE-2025-0296, CVE-2025-0297, CVE-2025-0298, CVE-2025-0299, CVE-2025-0300, CVE-2025-0301"
code-projects,Online Shoe Store,1.0,"CVE-2025-0204, CVE-2025-0205, CVE-2025-0206, CVE-2025-0207, CVE-2025-0208"
code-projects,Online Shop,1.0,CVE-2025-0175
code-projects,Point of Sales and Inventory Management System,1.0,"CVE-2025-0174, CVE-2025-0176, CVE-2025-0195, CVE-2025-0196, CVE-2025-0197, CVE-2025-0198, CVE-2025-0199, CVE-2025-0200, CVE-2025-0201"
code-projects,Responsive Hotel Site,1.0,CVE-2025-0230
code-projects,Simple Plugins Car Rental Management,1.0,CVE-2025-0874
code-projects,Student Management System,1.0,CVE-2025-0203
code-projects,Tourism Management System,1.0,CVE-2025-0538
code-projects,Train Ticket Reservation System,1.0,CVE-2025-0529
code-projects,Travel Management System,1.0,CVE-2025-0229
codection,Import and export users and customers,Unknown,CVE-2025-24689
codeigniter4,CodeIgniter4,< 4.5.8,CVE-2025-24013
codidact,qpixel,<= 0.9.0,CVE-2025-22138
coffeestudios,Pop Up,Unknown,CVE-2025-25105
cometbft,cometbft,< 0.38.17,CVE-2025-24371
coollabsio,coolify,< 4.0.0-beta.359,CVE-2025-22606
coollabsio,coolify,< 4.0.0-beta.361,"CVE-2025-22607, CVE-2025-22608, CVE-2025-22609, CVE-2025-22610, CVE-2025-22611, CVE-2025-24025"
